央视频道,#genre#
枣庄新闻综合,http://8.218.11.245:91/api/channel/v1k3d/zzxwzh.m3u8
枣庄教育,http://8.218.11.245:91/api/channel/v1k3d/zzjy.m3u8
枣庄公共,http://8.218.11.245:91/api/channel/v1k3d/zzgg.m3u8

江苏频道,#genre#
苏州4k,http://8.218.11.245:91/api/channel/v1k3d/sz4k.m3u8
无锡娱乐,http://8.218.11.245:91/api/channel/v1k3d/wxyl.m3u8
无锡都市资讯,http://8.218.11.245:91/api/channel/v1k3d/wxds.m3u8
无锡生活,http://8.218.11.245:91/api/channel/v1k3d/wxsh.m3u8
无锡经济,http://8.218.11.245:91/api/channel/v1k3d/wxjj.m3u8
东台综合频道,http://8.218.11.245:91/api/channel/v1k3d/dtzh.m3u8
盐都综合频道,http://8.218.11.245:91/api/channel/v1k3d/ydzh.m3u8
溧水新闻综合,http://8.218.11.245:91/api/channel/v1k3d/wsxw.m3u8
金湖新闻综合,http://8.218.11.245:91/api/channel/v1k3d/jhxw.m3u8
金坛新闻频道,http://8.218.11.245:91/api/channel/v1k3d/jwxw1.m3u8
海安新闻综合,http://8.218.11.245:91/api/channel/v1k3d/haxw.m3u8
睢宁综合频道,http://8.218.11.245:91/api/channel/v1k3d/wnzh.m3u8
睢宁生活教育,http://8.218.11.245:91/api/channel/v1k3d/wnsh.m3u8
睢宁三农频道,http://8.218.11.245:91/api/channel/v1k3d/sn.m3u8
沭阳综合频道,http://8.218.11.245:91/api/channel/v1k3d/myzh.m3u8
东海新闻频道,http://8.218.11.245:91/api/channel/v1k3d/dhxw.m3u8
贾汪新闻频道,http://8.218.11.245:91/api/channel/v1k3d/jwxw.m3u8
泗阳综合频道,http://8.218.11.245:91/api/channel/v1k3d/syzh.m3u8
泗阳资讯频道,http://8.218.11.245:91/api/channel/v1k3d/syzx.m3u8

江西频道,#genre#
江西都市频道,http://8.218.11.245:91/api/channel/v1k3d/d745MI.m3u8
江西经济生活频道,http://8.218.11.245:91/api/channel/v1k3d/eQ5922.m3u8
江西经济生活频道高清,http://8.218.11.245:91/api/channel/v1k3d/28584n.m3u8
